MESH_NM	MESH_ACC_TXT	CTD_ACTION_CD	MGI_ACTION_CD	OMIM_NM	OMIM_ID	OMIM_Designation	CREATE_BY	CREATE_BY_DATE	MOD_BY	MOD_BY_DATE	CURATOR_NOTE															
Bipolar Disorder	D001714	L	L	MAJOR AFFECTIVE DISORDER 1	125480	%	apd	05/12/10	apd	05/12/10																
Bipolar Disorder	D001714	L	L	MAJOR AFFECTIVE DISORDER 2	309200	%	apd	05/12/10	apd	05/12/10																
Bipolar Disorder	D001714	L	L	MAJOR AFFECTIVE DISORDER 3	609633	%	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Bipolar Disorder	D001714	L	L	MAJOR AFFECTIVE DISORDER 4	611247	%	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Bipolar Disorder	D001714	L	L	MAJOR AFFECTIVE DISORDER 5	611535	%	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Bipolar Disorder	D001714	L	L	MAJOR AFFECTIVE DISORDER 6	611536	%	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Bipolar Disorder	D001714	L	L	MAJOR AFFECTIVE DISORDER 7	612371	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Bipolar Disorder	D001714	L	L	MAJOR AFFECTIVE DISORDER 8	612357	%	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Bipolar Disorder	D001714	L	L	MAJOR AFFECTIVE DISORDER 9	612372	%	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Depressive Disorder, Major	D003865	M	M	MAJOR DEPRESSIVE DISORDER	608516	#	apd	05/12/10	apd	05/12/10																
Depressive Disorder, Major	D003865	M	L	MAJOR DEPRESSIVE DISORDER 1	608520	%	apd	05/12/10	apd	05/12/10																
Alzheimer Disease	D003865	M	L	MAJOR DEPRESSIVE DISORDER 2	608691	%	apd	05/12/10	apd	05/12/10																
Keratoderma, Palmoplantar	D007645	M	L	MAL DE MELEDA	248300	#	apd	05/12/10	apd	07/11/11																
Malaria	D008288	M	L	MALARIA, MILD, SUSCEPTIBILITY TO	609148	%	apd	05/12/10	apd	05/12/10																
Malaria	D008288	M	M	MALARIA, SUSCEPTIBILITY TO	611162	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Infertility, Male	D007248	L	L	MALE INFERTILITY, NONSYNDROMIC, AUTOSOMAL RECESSIVE	612997	#	apd	05/12/10	apd	05/12/10	February 2010 OMIM-CTD synch. (report by Tom; curated by APD)															
Malignant hyperthermia susceptibility type 1	C535694	M	M	MALIGNANT HYPERTHERMIA, SUSCEPTIBILITY TO, 1	145600	#	apd	05/12/10	apd	07/20/11																
Malignant hyperthermia susceptibility type 2	C535695	M	M	MALIGNANT HYPERTHERMIA, SUSCEPTIBILITY TO, 2	154275	%	apd	05/12/10	apd	07/20/11																
Malignant hyperthermia susceptibility type 3	C535696	M	M	MALIGNANT HYPERTHERMIA, SUSCEPTIBILITY TO, 3	154276	%	apd	05/12/10	apd	07/20/11																
Malignant hyperthermia susceptibility type 4	C535697	M	M	MALIGNANT HYPERTHERMIA, SUSCEPTIBILITY TO, 4	600467	%	apd	05/12/10	apd	07/20/11																
Malignant hyperthermia susceptibility type 5	C535698	M	M	MALIGNANT HYPERTHERMIA, SUSCEPTIBILITY TO, 5	601887	#	apd	05/12/10	apd	07/20/11																
Malignant hyperthermia susceptibility type 6	C535699	M	M	MALIGNANT HYPERTHERMIA, SUSCEPTIBILITY TO, 6	601888	%	apd	05/12/10	apd	07/20/11																
Malonic aciduria	C535702	M	L	MALONYL-COA DECARBOXYLASE DEFICIENCY	248360	#	apd	05/12/10	apd	07/20/11																
Breast Diseases  	D001941	L	L	MAMMARY-DIGITAL-NAIL SYNDROME	613689	%	apd	08/30/11	apd	08/30/11	CTD-OMIM synch (August 2011)															
Foot Deformities, Congenital	D005532	L	L	MAMMARY-DIGITAL-NAIL SYNDROME	613689	%	apd	08/30/11	apd	08/30/11	CTD-OMIM synch (August 2011)															
Hand Deformities, Congenital	D006228	L	L	MAMMARY-DIGITAL-NAIL SYNDROME	613689	%	apd	08/30/11	apd	08/30/11	CTD-OMIM synch (August 2011)															
Nails, Malformed	D009264	L	L	MAMMARY-DIGITAL-NAIL SYNDROME	613689	%	apd	08/30/11	apd	08/30/11	CTD-OMIM synch (August 2011)															
Mandibuloacral dysplasia with type A lipodystrophy	C535705	M	M	MANDIBULOACRAL DYSPLASIA WITH TYPE A LIPODYSTROPHY	248370	#	apd	05/12/10	apd	10/07/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD); re-mapped to new MESH															
Mandibuloacral dysplasia with type B lipodystrophy	C535706	M	M	MANDIBULOACRAL DYSPLASIA WITH TYPE B LIPODYSTROPHY	608612	#	apd	05/12/10	apd	10/25/10	mapped to new MESH 2011															
alpha-Mannosidosis	D008363	M	M	MANNOSIDOSIS, ALPHA B, LYSOSOMAL	248500	#	apd	05/12/10	apd	05/12/10																
beta-Mannosidosis	D044905	M	M	MANNOSIDOSIS, BETA A, LYSOSOMAL	248510	#	apd	05/12/10	apd	05/12/10																
Maple Syrup Urine Disease	D008375	M	M	MAPLE SYRUP URINE DISEASE	248600	#	apd	05/12/10	apd	05/12/10																
Marfan Syndrome	D008382	M	M	MARFAN SYNDROME	154700	#	apd	05/12/10	apd	05/12/10																
Marie Unna congenital hypotrichosis	C535912	M	L	MARIE UNNA HEREDITARY HYPOTRICHOSIS 1	146550	%	apd	05/12/10	apd	05/12/10																
Marie Unna congenital hypotrichosis	C535912	M	L	MARIE UNNA HEREDITARY HYPOTRICHOSIS 2	612841	%	apd	05/12/10	apd	06/17/11	February 2010 OMIM-CTD synch. (report by Tom; curated by APD)															
Spinocerebellar Degenerations	D013132	M	L	MARINESCO-SJOGREN SYNDROME	248800	#	apd	05/12/10	apd	05/12/10																
Marshall syndrome	C536025	M	M	MARSHALL SYNDROME	154780	#	apd	05/12/10	apd	10/07/10	re-mapped to new MESH															
Genital Diseases, Male	D005832	L	L	MARTIN-PROBST DEAFNESS-MENTAL RETARDATION SYNDROME	300519	%	apd	05/12/10	apd	05/12/10																
Hearing Loss, Sensorineural	D006319	L	L	MARTIN-PROBST DEAFNESS-MENTAL RETARDATION SYNDROME	300519	%	apd	05/12/10	apd	05/12/10																
Hernia, Umbilical	D006554	L	L	MARTIN-PROBST DEAFNESS-MENTAL RETARDATION SYNDROME	300519	%	apd	05/12/10	apd	05/12/10																
Kidney Diseases	D007674	L	L	MARTIN-PROBST DEAFNESS-MENTAL RETARDATION SYNDROME	300519	%	apd	05/12/10	apd	05/12/10																
Pancytopenia	D010198	L	L	MARTIN-PROBST DEAFNESS-MENTAL RETARDATION SYNDROME	300519	%	apd	05/12/10	apd	05/12/10																
Proteinuria	D011507	L	L	MARTIN-PROBST DEAFNESS-MENTAL RETARDATION SYNDROME	300519	%	apd	05/12/10	apd	05/12/10																
Tooth Abnormalities	D014071	L	L	MARTIN-PROBST DEAFNESS-MENTAL RETARDATION SYNDROME	300519	%	apd	05/12/10	apd	05/12/10																
Facies	D019066	L	L	MARTIN-PROBST DEAFNESS-MENTAL RETARDATION SYNDROME	300519	%	apd	05/12/10	apd	05/12/10																
Craniofacial Abnormalities	D019465	L	L	MARTIN-PROBST DEAFNESS-MENTAL RETARDATION SYNDROME	300519	%	apd	05/12/10	apd	05/12/10																
Mental Retardation, X-Linked	D038901	L	L	MARTIN-PROBST DEAFNESS-MENTAL RETARDATION SYNDROME	300519	%	apd	05/12/10	apd	05/12/10																
Martsolf syndrome	C536028	M	M	MARTSOLF SYNDROME	212720	#	apd	05/12/10	apd	10/25/10	mapped to new MESH 2011															
MASA (Mental Retardation, Aphasia, Shuffling Gait, Adducted Thumbs) Syndrome	C536029	M	M	MASA SYNDROME	303350	#	apd	05/12/10	apd	10/29/10	mapped to new MESH 2011															
Immune Complex Diseases	D007105	L	L	MASP2 DEFICIENCY	613791	#	apd	08/30/11	apd	08/30/11	CTD-OMIM synch (August 2011)															
Inflammation	D007249	L	L	MASP2 DEFICIENCY	613791	#	apd	08/30/11	apd	08/30/11	CTD-OMIM synch (August 2011)															
MASS syndrome	C536030	M	M	MASS SYNDROME	604308	#	apd	05/12/10	apd	10/25/10	mapped to new MESH 2011															
Dementia	D003704	L	L	MAST SYNDROME	248900	#	apd	05/12/10	apd	05/12/10																
Spastic Paraplegia, Hereditary	D015419	L	L	MAST SYNDROME	248900	#	apd	05/12/10	apd	05/12/10																
Diabetes Mellitus	D003920	L	L	MATURITY-ONSET DIABETES OF THE YOUNG	606391	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Diabetes Mellitus	D003920	L	L	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 10	613370	#	apd	05/12/10	apd	05/12/10	May 2010 OMIM-CTD synch. (reported by Tom; curated by APD)															
Diabetes Mellitus	D003920	L	L	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 11	613375	#	apd	08/26/10	apd	08/26/10	CTD-OMIM synch (August 2010)															
Diabetes Mellitus	D003920	L	L	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 4	606392	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Diabetes Mellitus	D003920	L	L	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 6	606394	#	apd	05/12/10	apd	05/12/10	May 2010 OMIM-CTD synch. (reported by Tom; curated by APD)															
Diabetes Mellitus	D003920	L	L	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE 9	612225	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Diabetes Mellitus	D003920	L	L	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE I	125850	#	apd	05/12/10	apd	05/12/10																
Diabetes Mellitus	D003920	L	L	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE II	125851	#	apd	05/12/10	apd	05/12/10																
Diabetes Mellitus	D003920	L	L	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE III	600496	#	apd	05/12/10	apd	05/12/10																
Diabetes Mellitus	D003920	L	L	MATURITY-ONSET DIABETES OF THE YOUNG, TYPE VII	610508	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Rokitansky Kuster Hauser syndrome	C535867	M	M	MAYER-ROKITANSKY-KUSTER-HAUSER SYNDROME	277000	#	apd	05/12/10	apd	07/27/11																
May-Hegglin anomaly	C536037	M	M	MAY-HEGGLIN ANOMALY	155100	#	apd	05/12/10	apd	10/25/10	mapped to new MESH 2011															
Fibrous Dysplasia, Polyostotic	D005359	M	L	MCCUNE-ALBRIGHT SYNDROME	174800	#	apd	05/12/10	apd	05/12/10																
McKusick Kaufman syndrome	C538159	M	M	MCKUSICK-KAUFMAN SYNDROME	236700	#	apd	05/12/10	apd	07/20/11																
Meacham Winn Culler syndrome	C538162	M	L	MEACHAM SYNDROME	608978	#	apd	05/12/10	apd	07/20/11	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Meckel syndrome type 1	C536133	M	M	MECKEL SYNDROME, TYPE 1	249000	#	apd	05/12/10	apd	07/20/11																
Meckel syndrome type 2	C536131	M	M	MECKEL SYNDROME, TYPE 2	603194	%	apd	05/12/10	apd	07/20/11																
Meckel syndrome type 3	C536132	M	M	MECKEL SYNDROME, TYPE 3	607361	#	apd	05/12/10	apd	07/20/11																
Encephalocele	D004677	L	L	MECKEL SYNDROME, TYPE 4	611134	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Liver Diseases	D008107	L	L	MECKEL SYNDROME, TYPE 4	611134	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Polydactyly	D017689	L	L	MECKEL SYNDROME, TYPE 4	611134	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Kidney Diseases, Cystic	D052177	L	L	MECKEL SYNDROME, TYPE 4	611134	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Encephalocele	D004677	L	L	MECKEL SYNDROME, TYPE 5	611561	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Liver Diseases  	D008107	L	L	MECKEL SYNDROME, TYPE 5	611561	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Polydactyly	D017689	L	L	MECKEL SYNDROME, TYPE 5	611561	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Kidney Diseases, Cystic	D052177	L	L	MECKEL SYNDROME, TYPE 5	611561	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Encephalocele	D004677	L	L	MECKEL SYNDROME, TYPE 6	612284	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Liver Diseases  	D008107	L	L	MECKEL SYNDROME, TYPE 6	612284	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Polydactyly	D017689	L	L	MECKEL SYNDROME, TYPE 6	612284	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Kidney Diseases, Cystic	D052177	L	L	MECKEL SYNDROME, TYPE 6	612284	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Renal hepatic pancreatic dysplasia Dandy Walker cyst	C537756	M	L	MECKEL SYNDROME, TYPE 7	267010	#	apd	08/30/11	apd	08/30/11	CTD-OMIM synch (August 2011)															
Medullary cystic kidney disease 1	C536137	M	M	MEDULLARY CYSTIC KIDNEY DISEASE 1	174000	%	apd	05/12/10	apd	10/25/10	mapped to new MESH 2011															
Medullary Cystic Kidney Disease 2	C548033	M	M	MEDULLARY CYSTIC KIDNEY DISEASE 2	603860	#	apd	05/12/10	apd	10/25/10	mapped to new MESH 2011															
Medulloblastoma	D008527	M	M	MEDULLOBLASTOMA	155255	#	apd	05/12/10	apd	05/12/10																
Megacystis microcolon intestinal hypoperistalsis syndrome	C536138	M	M	MEGACYSTIS-MICROCOLON-INTESTINAL HYPOPERISTALSIS SYNDROME	249210	%	smb	09/27/10	smb	07/20/11	from Joel's review 															
Megalencephalic leukoencephalopathy with subcortical cysts	C536141	M	M	MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS	604004	#	apd	05/12/10	apd	10/07/10	re-mapped to new MESH															
Anemia, Megaloblastic	D000749	M	L	MEGALOBLASTIC ANEMIA 1	261100	#	apd	05/12/10	apd	05/12/10																
Corneal Diseases	D003316	L	L	MEGALOCORNEA	309300	%	smb	09/27/10	smb	09/27/10	from Joel's review 															
Meier-Gorlin syndrome	C538012	M	L	MEIER-GORLIN SYNDROME 2	613800	#	apd	08/30/11	apd	08/30/11	CTD-OMIM synch (August 2011)															
Meier-Gorlin syndrome	C538012	M	L	MEIER-GORLIN SYNDROME 3	613803	#	apd	08/30/11	apd	08/30/11	CTD-OMIM synch (August 2011)															
Meier-Gorlin syndrome	C538012	M	L	MEIER-GORLIN SYNDROME 4	613804	#	apd	08/30/11	apd	08/30/11	CTD-OMIM synch (August 2011)															
Meier-Gorlin syndrome	C538012	M	L	MEIER-GORLIN SYNDROME 5	613805	#	apd	08/30/11	apd	08/30/11	CTD-OMIM synch (August 2011)															
Melanoma	D008545	L	L	MELANOMA, CUTANEOUS MALIGNANT	155600	%	apd	05/12/10	apd	05/12/10																
Skin Neoplasms	D012878	L	L	MELANOMA, CUTANEOUS MALIGNANT	155600	%	apd	05/12/10	apd	05/12/10																
Melanoma	D008545	L	L	MELANOMA, CUTANEOUS MALIGNANT, 2	155601	#	apd	05/12/10	apd	05/12/10																
Skin Neoplasms	D012878	L	L	MELANOMA, CUTANEOUS MALIGNANT, 2	155601	#	apd	05/12/10	apd	05/12/10																
Melanoma	D008545	L	L	MELANOMA, CUTANEOUS MALIGNANT, 3	609048	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Skin Neoplasms	D012878	L	L	MELANOMA, CUTANEOUS MALIGNANT, 3	609048	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Melanoma	D008545	L	L	MELANOMA, CUTANEOUS MALIGNANT, 4	608035	%	apd	05/12/10	apd	05/12/10																
Skin Neoplasms	D012878	L	L	MELANOMA, CUTANEOUS MALIGNANT, 4	608035	%	apd	05/12/10	apd	05/12/10																
Melanoma	D008545	L	L	MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 5	613099	#	apd	05/12/10	apd	05/12/10	February 2010 OMIM-CTD synch. (report by Tom; curated by APD)															
Skin Neoplasms	D012878	L	L	MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 5	613099	#	apd	05/12/10	apd	05/12/10	February 2010 OMIM-CTD synch. (report by Tom; curated by APD)															
Melanoma	D008545	L	L	MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 7	612263	%	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Skin Neoplasms	D012878	L	L	MELANOMA, CUTANEOUS MALIGNANT, SUSCEPTIBILITY TO, 7	612263	%	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Uveal melanoma	C536494	M	M	MELANOMA, UVEAL	155720	#	smb	09/24/10	smb	07/21/11	from Joel's review 															
Uveal melanoma	C536494	M	L	MELANOMA, UVEAL, SUSCEPTIBILITY TO, 1	606660	%	apd	05/12/10	apd	05/12/10																
Uveal melanoma	C536494	M	L	MELANOMA, UVEAL, SUSCEPTIBILITY TO, 2	606661	%	apd	05/12/10	apd	05/12/10																
Melanoma astrocytoma syndrome	C536149	M	M	MELANOMA-ASTROCYTOMA SYNDROME	155755	#	apd	05/12/10	apd	07/21/11																
Melanoma	D008545	L	L	MELANOMA-PANCREATIC CANCER SYNDROME	606719	#	apd	05/12/10	apd	05/12/10																
Pancreatic Neoplasms	D010190	L	L	MELANOMA-PANCREATIC CANCER SYNDROME	606719	#	apd	05/12/10	apd	05/12/10																
Melkersson-Rosenthal Syndrome	D008556	M	M	MELKERSSON-ROSENTHAL SYNDROME	155900	%	apd	05/12/10	apd	05/12/10																
Osteochondrodysplasias	D010009	M	L	MELNICK-NEEDLES SYNDROME	309350	#	apd	05/12/10	apd	05/12/10																
Melorheostosis	D008557	M	M	MELORHEOSTOSIS	155950	#	apd	05/12/10	apd	05/12/10																
Glomerulonephritis, Membranoproliferative	D015432	L	L	MEMBRANOPROLIFERATIVE GLOMERULONEPHRITIS, X-LINKED	305800	[blank]	smb	09/27/10	smb	09/27/10	from Joel's review 															
Genetic Diseases, X-Linked	D040181	L	L	MEMBRANOPROLIFERATIVE GLOMERULONEPHRITIS, X-LINKED	305800	[blank]	smb	09/27/10	smb	09/27/10	from Joel's review 															
Meningioma, familial	C537443	M	M	MENINGIOMA, FAMILIAL	607174	#	apd	05/12/10	apd	10/25/10	mapped to new MESH 2011															
Radiation induced meningioma	C536266	M	M	MENINGIOMA, RADIATION-INDUCED	606190	[blank]	apd	05/12/10	apd	07/21/11																
Menkes Kinky Hair Syndrome	D007706	M	M	MENKES DISEASE	309400	#	apd	05/12/10	apd	05/12/10																
Bipolar Disorder	D001714	L	L	MENTAL HEALTH WELLNESS 1	603663	%	apd	05/12/10	apd	05/12/10																
Bipolar Disorder	D001714	L	L	MENTAL HEALTH WELLNESS 2	603664	[blank]	apd	05/12/10	apd	05/12/10																
Cerebellar Diseases	D002526	L	L	MENTAL RETARDATION AND MICROCEPHALY WITH PONTINE AND CEREBELLAR HYPOPLASIA	300749	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Microcephaly	D008831	L	L	MENTAL RETARDATION AND MICROCEPHALY WITH PONTINE AND CEREBELLAR HYPOPLASIA	300749	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Mental Retardation, X-Linked	D038901	L	L	MENTAL RETARDATION AND MICROCEPHALY WITH PONTINE AND CEREBELLAR HYPOPLASIA	300749	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Autistic Disorder	D001321	L	L	MENTAL RETARDATION WITH LANGUAGE IMPAIRMENT AND AUTISTIC FEATURES	613670	#	apd	08/30/11	apd	08/30/11	CTD-OMIM synch (August 2011)															
Language Development Disorders	D007805	L	L	MENTAL RETARDATION WITH LANGUAGE IMPAIRMENT AND AUTISTIC FEATURES	613670	#	apd	08/30/11	apd	08/30/11	CTD-OMIM synch (August 2011)															
Mental Retardation	D008607	L	L	MENTAL RETARDATION WITH LANGUAGE IMPAIRMENT AND AUTISTIC FEATURES	613670	#	apd	08/30/11	apd	08/30/11	CTD-OMIM synch (August 2011)															
X-linked mental retardation Gustavson type	C536759	M	M	MENTAL RETARDATION WITH OPTIC ATROPHY, DEAFNESS, AND SEIZURES	309555	%	apd	05/12/10	apd	07/21/11																
Jaw Abnormalities	D007569	L	L	MENTAL RETARDATION, ANTERIOR MAXILLARY PROTRUSION, AND STRABISMUS	613671	#	apd	08/30/11	apd	08/30/11	CTD-OMIM synch (August 2011)															
Mental Retardation	D008607	L	L	MENTAL RETARDATION, ANTERIOR MAXILLARY PROTRUSION, AND STRABISMUS	613671	#	apd	08/30/11	apd	08/30/11	CTD-OMIM synch (August 2011)															
Strabismus	D013285	L	L	MENTAL RETARDATION, ANTERIOR MAXILLARY PROTRUSION, AND STRABISMUS	613671	#	apd	08/30/11	apd	08/30/11	CTD-OMIM synch (August 2011)															
Mental Retardation	D008607	L	L	MENTAL RETARDATION, AUTOSOMAL DOMINANT 1	156200	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Mental Retardation	D008607	L	L	MENTAL RETARDATION, AUTOSOMAL DOMINANT 3	612580	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Mental Retardation	D008607	L	L	MENTAL RETARDATION, AUTOSOMAL DOMINANT 4	612581	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Mental Retardation	D008607	L	L	MENTAL RETARDATION, AUTOSOMAL DOMINANT 5	612621	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Mental Retardation	D008607	L	L	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 1	249500	#	apd	05/12/10	apd	05/12/10																
Mental Retardation	D008607	L	L	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 10	611096	%	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Mental Retardation	D008607	L	L	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 11	611097	%	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Mental Retardation	D008607	L	L	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 12	611090	%	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Mental Retardation	D008607	L	L	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 13	613192	#	apd	05/12/10	apd	05/12/10	May 2010 OMIM-CTD synch. (reported by Tom; curated by APD)															
Intellectual Disability  	D008607	L		MENTAL RETARDATION, AUTOSOMAL RECESSIVE 16	614208	%	apd	11/3/2011	apd	11/3/2011	November 2011 OMIM synch															
Intellectual Disability  	D008607	L		MENTAL RETARDATION, AUTOSOMAL RECESSIVE 17	614207	%	apd	11/3/2011	apd	11/3/2011	November 2011 OMIM synch															
Mental Retardation	D008607	L	L	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 2A	607417	#	apd	05/12/10	apd	05/12/10																
Mental Retardation	D008607	L	L	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 3	608443	#	apd	05/12/10	apd	05/12/10																
Mental Retardation	D008607	L	L	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 4	611107	%	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Mental Retardation	D008607	L	L	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 5	611091	%	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Mental Retardation	D008607	L	L	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 6	611092	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Mental Retardation	D008607	L	L	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 7	611093	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Mental Retardation	D008607	L	L	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 8	611094	%	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Mental Retardation	D008607	L	L	MENTAL RETARDATION, AUTOSOMAL RECESSIVE 9	611095	%	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
MEHMO syndrome	C537451	M	M	MENTAL RETARDATION, EPILEPTIC SEIZURES, HYPOGONADISM AND HYPOGENITALISM, MICROCEPHALY, AND OBESITY	300148	%	apd	05/12/10	apd	07/21/11																
Mental Retardation	D008607	L	L	MENTAL RETARDATION, FRA12A TYPE	136630	#	apd	05/12/10	apd	05/12/10	August 2008 OMIM-CTD synch. (report by Tom; curated by APD)															
Mental Retardation	D008607	L	L	MENTAL RETARDATION, JOINT HYPERMOBILITY, AND SKIN LAXITY, WITH OR WITHOUT METABOLIC ABNORMALITIES	612652	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Skin Abnormalities	D012868	L	L	MENTAL RETARDATION, JOINT HYPERMOBILITY, AND SKIN LAXITY, WITH OR WITHOUT METABOLIC ABNORMALITIES	612652	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Neurocutaneous Syndromes	D020752	L	L	MENTAL RETARDATION, JOINT HYPERMOBILITY, AND SKIN LAXITY, WITH OR WITHOUT METABOLIC ABNORMALITIES	612652	#	apd	05/12/10	apd	05/12/10	June 2009 OMIM-CTD synch. (report by Tom; curated by APD)															
Amino Acid Metabolism, Inborn Errors	D000592	L	L	MENTAL RETARDATION, JOINT HYPERMOBILITY, AND SKIN LAXITY, WITH OR WITHOUT METABOLIC ABNORMALITIES	612652	#	apd	05/12/10	apd	10/04/10	new added															
Hyperammonemia	D022124	L	L	MENTAL RETARDATION, JOINT HYPERMOBILITY, AND SKIN LAXITY, WITH OR WITHOUT METABOLIC ABNORMALITIES	612652	#	apd	05/12/10	apd	10/04/10	new added															
Intellectual Disability  	D008607	L		MENTAL RETARDATION, MICROCEPHALY, GROWTH RETARDATION, JOINT CONTRACTURES, AND FACIAL DYSMORPHISM	606242	%	apd	11/3/2011	apd	11/3/2011	November 2011 OMIM synch															
